estado,condado,poblacion_total,latinos,pct_latino,crecimiento_2010_2024,los_activos,los_locales,etiqueta_cobertura,nota,fips,condado_oficial
TX,Harris County,4838303.0,2126581.0,0.439530347727292,0.36040760135978006,12,8,COBERTURA SUFICIENTE,,48201,Harris County
FL,Miami-Dade County,2738356.0,1898211.0,0.6931936534183284,0.2125966999060949,18,13,COBERTURA SUFICIENTE,,12086,Miami-Dade County
IL,Cook County,5182090.0,1387163.0,0.2676840811332879,0.15314683977631413,4,1,COBERTURA MEDIA,,17031,Cook County
TX,Bexar County,2067341.0,1234086.0,0.5969436101736482,0.28747232753350427,12,8,COBERTURA SUFICIENTE,,48029,Bexar County
TX,Dallas County,2621179.0,1081496.0,0.4125990632459668,0.2573619599805146,12,8,COBERTURA SUFICIENTE,,48113,Dallas County
TX,Hidalgo County,891977.0,819984.0,0.9192882776125393,0.23349083212614344,12,8,COBERTURA SUFICIENTE,,48215,Hidalgo County
NY,Bronx County,1404779.0,773828.0,0.550853906557544,0.0774487471526196,2,1,COBERTURA DELGADA,,36005,Bronx County
NV,Clark County,2329548.0,742075.0,0.3185489202197164,0.38987218963282616,2,1,COBERTURA DELGADA,,32003,Clark County
TX,El Paso County,870779.0,720158.0,0.8270272939517375,0.13875175914359356,12,8,COBERTURA SUFICIENTE,,48141,El Paso County
TX,Tarrant County,2167390.0,655747.0,0.30255145589856924,0.4658543237032467,12,8,COBERTURA SUFICIENTE,,48439,Tarrant County
NY,Queens County,2323052.0,652505.0,0.2808826492045809,0.1000859830731362,2,1,COBERTURA DELGADA,,36081,Queens County
FL,Broward County,1977129.0,648085.0,0.3277909534481564,0.5592947522658538,18,13,COBERTURA SUFICIENTE,,12011,Broward County
NY,Kings County,2631580.0,498746.0,0.18952340419063832,0.023704989973255174,2,1,COBERTURA DELGADA,,36047,Kings County
FL,Orange County,1471937.0,497773.0,0.33817547897770084,0.729819988879622,18,13,COBERTURA SUFICIENTE,,12095,Orange County
FL,Hillsborough County,1522748.0,462209.0,0.30353610709060197,0.6138920508111203,18,13,COBERTURA SUFICIENTE,,12057,Hillsborough County
TX,Travis County,1330015.0,433057.0,0.32560309470193943,0.3484067230867911,12,8,COBERTURA SUFICIENTE,,48453,Travis County
NY,New York County,1629477.0,398102.0,0.2443127457460277,-0.021795111211582122,2,1,COBERTURA DELGADA,,36061,New York County
TX,Cameron County,426120.0,380524.0,0.8929972777621328,0.10607474326441513,12,8,COBERTURA SUFICIENTE,,48061,Cameron County
FL,Palm Beach County,1533806.0,374740.0,0.2443203377741383,0.60449055262741,18,13,COBERTURA SUFICIENTE,,12099,Palm Beach County
NY,Suffolk County,1530146.0,348579.0,0.22780767325470902,0.532437672277737,2,1,COBERTURA DELGADA,,36103,Suffolk County
PR,San Juan Municipio,336160.0,330223.0,0.9823387672536887,-0.16865216231049257,1,1,COBERTURA DELGADA,,72127,San Juan Municipio
NJ,Hudson County,718323.0,292607.0,0.40734739107615936,0.1232773115695563,4,2,COBERTURA MEDIA,,34017,Hudson County
NY,Westchester County,999677.0,273730.0,0.2738184433572044,0.41879004001409825,2,1,COBERTURA DELGADA,,36119,Westchester County
NY,Nassau County,1389591.0,260047.0,0.18713923737272334,0.42880611858046297,2,1,COBERTURA DELGADA,,36059,Nassau County
TX,Webb County,269294.0,255830.0,0.9500025993895148,0.11521846215545839,12,8,COBERTURA SUFICIENTE,,48479,Webb County
